channel,date_field,date_source,engine,ev_id,is_first_of_minor,line,minor_series,released_on,schema,tag,v,version
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2022-03-16,releases,3.4.4-rc2,0.1,3.4.4
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.4,2022-03-23,releases,3.4.4-stable,0.1,3.4.4
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-03-24,releases,4.0-alpha5,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-03-30,releases,3.5-beta3,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-04-06,releases,4.0-alpha6,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-04-15,releases,3.5-beta4,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-04-27,releases,4.0-alpha7,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-05-03,releases,3.5-beta5,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-05-11,releases,4.0-alpha8,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-05-18,releases,3.5-rc1,0.1,3.5
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-05-24,releases,3.5-rc2,0.1,3.5
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-06-01,releases,3.5-rc3,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-06-02,releases,4.0-alpha9,0.1,4.0
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-06-15,releases,4.0-alpha10,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-06-17,releases,3.5-rc4,0.1,3.5
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-06-27,releases,3.5-rc5,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-07-01,releases,4.0-alpha11,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-07-08,releases,3.5-rc6,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-07-14,releases,4.0-alpha12,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2022-07-19,releases,3.4.5-rc1,0.1,3.4.5
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-07-22,releases,3.5-rc7,0.1,3.5
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-07-28,releases,3.5-rc8,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-07-28,releases,4.0-alpha13,0.1,4.0
